No,Tahun,Provinsi,Kode_Kabupaten_Kota,Kabupaten_Kota,PoU,Jumlah_Penduduk,Penduduk_Undernourish,id,latitude,longitude
382,2018,SULAWESI UTARA,7171,KOTA MANADO,1.38,431880,5960,7171,1.51667,124.88333
383,2018,SULAWESI UTARA,7172,KOTA BITUNG,1.88,215711,4055,7172,1.48333,125.15
384,2018,SULAWESI UTARA,7173,KOTA TOMOHON,1.72,105306,1811,7173,1.31307,124.83404
385,2018,SULAWESI UTARA,7174,KOTA KOTAMOBAGU,2.7,126198,3407,7174,0.68915,124.32678
386,2018,SULAWESI TENGAH,7201,BANGGAI KEPULAUAN,10.51,117633,12363,7201,-1.6424,123.54881
387,2018,SULAWESI TENGAH,7202,BANGGAI,6.33,371322,23505,7202,-1.2835,122.8892
388,2018,SULAWESI TENGAH,7203,MOROWALI,2.75,119292,3281,7203,-1.89342,121.25473
389,2018,SULAWESI TENGAH,7204,POSO,5.52,251185,13865,7204,-1.65,120.5
390,2018,SULAWESI TENGAH,7205,DONGGALA,9.31,301591,28078,7205,-0.58333,119.85
391,2018,SULAWESI TENGAH,7206,TOLITOLI,7.47,233409,17436,7206,1.30862,120.88643
392,2018,SULAWESI TENGAH,7207,BUOL,6.8,158790,10798,7207,0.75,120.75
393,2018,SULAWESI TENGAH,7208,PARIGI MOUTONG,7.81,482794,37706,7208,0.3368,120.17841
394,2018,SULAWESI TENGAH,7209,TOJO UNA UNA,5.91,152476,9011,7209,-1.2036,121.48201
395,2018,SULAWESI TENGAH,7210,SIGI,7.05,237011,16709,7210,-1.385,119.96694
396,2018,SULAWESI TENGAH,7211,BANGGAI LAUT,7.28,73697,5365,7211,-1.61841,123.49388
397,2018,SULAWESI TENGAH,7212,MOROWALI UTARA,6.09,125624,7651,7212,-1.7207,121.24649
398,2018,SULAWESI TENGAH,7271,KOTA PALU,5.72,385619,22057,7271,-0.86972,119.9
399,2018,SULAWESI SELATAN,7301,KEPULAUAN SELAYAR,6.34,134280,8513,7301,-6.81667,120.8
400,2018,SULAWESI SELATAN,7302,BULUKUMBA,7.75,418326,32420,7302,-5.41667,120.23333
401,2018,SULAWESI SELATAN,7303,BANTAENG,8.08,186612,15078,7303,-5.48333,119.98333
402,2018,SULAWESI SELATAN,7304,JENEPONTO,9.08,361793,32851,7304,-5.63333,119.73333
403,2018,SULAWESI SELATAN,7305,TAKALAR,6.12,295892,18109,7305,-5.41667,119.51667
404,2018,SULAWESI SELATAN,7306,GOWA,6.02,760607,45789,7306,-5.31667,119.75
405,2018,SULAWESI SELATAN,7307,SINJAI,7.89,242672,19147,7307,-5.21667,120.15
406,2018,SULAWESI SELATAN,7308,MAROS,4.52,349822,15812,7308,-5.05,119.71667
407,2018,SULAWESI SELATAN,7309,PANGKAJENE KEPULAUAN,4.42,332674,14704,7309,-4.7827,119.5506
408,2018,SULAWESI SELATAN,7310,BARRU,7.86,173623,13647,7310,-4.43333,119.68333
409,2018,SULAWESI SELATAN,7311,BONE,11.06,754894,83491,7311,-4.7,120.13333
410,2018,SULAWESI SELATAN,7312,SOPPENG,9.79,226770,22201,7312,-4.3842,119.89
411,2018,SULAWESI SELATAN,7313,WAJO,7.63,396810,30277,7313,-4.0,120.16667
412,2018,SULAWESI SELATAN,7314,SIDENRENG RAPPANG,5.9,299123,17648,7314,-3.85,119.96667
413,2018,SULAWESI SELATAN,7315,PINRANG,6.46,374583,24198,7315,-3.61667,119.6
414,2018,SULAWESI SELATAN,7316,ENREKANG,8.1,204827,16591,7316,-3.5,119.86667
415,2018,SULAWESI SELATAN,7317,LUWU,5.42,359209,19469,7317,-2.5577,121.3242
416,2018,SULAWESI SELATAN,7318,TANA TORAJA,6.61,232821,15389,7318,-3.0024,119.79655
417,2018,SULAWESI SELATAN,7322,LUWU UTARA,6.21,310470,19280,7322,-2.6,120.25
418,2018,SULAWESI SELATAN,7325,LUWU TIMUR,5.3,293822,15573,7325,-2.50957,120.3978
419,2018,SULAWESI SELATAN,7326,TORAJA UTARA,6.23,229798,14316,7326,-2.92738,119.79218
420,2018,SULAWESI SELATAN,7371,KOTA MAKASSAR,2.57,1508154,38760,7371,-5.15,119.45
421,2018,SULAWESI SELATAN,7372,KOTA PARE PARE,4.4,143710,6323,7372,-4.03333,119.65
