No,Tahun,Provinsi,Kode_Kabupaten_Kota,Kabupaten_Kota,PoU,Jumlah_Penduduk,Penduduk_Undernourish
2473,2022,SULAWESI SELATAN,7322,LUWU UTARA,9.05,329892,29855
2474,2022,SULAWESI SELATAN,7325,LUWU TIMUR,8.77,304297,26687
2475,2022,SULAWESI SELATAN,7326,TORAJA UTARA,11.35,268877,30518
2476,2022,SULAWESI SELATAN,7371,KOTA MAKASSAR,6.35,1444879,91750
2477,2022,SULAWESI SELATAN,7372,KOTA PARE PARE,6.71,155912,10462
2478,2022,SULAWESI SELATAN,7373,KOTA PALOPO,5.62,189841,10669
2479,2022,SULAWESI TENGGARA,7401,BUTON,20.76,118413,24583
2480,2022,SULAWESI TENGGARA,7402,MUNA,22.55,221370,49919
2481,2022,SULAWESI TENGGARA,7403,KONAWE,14.57,264928,38600
2482,2022,SULAWESI TENGGARA,7404,KOLAKA,13.86,243041,33685
2483,2022,SULAWESI TENGGARA,7405,KONAWE SELATAN,17.76,318352,56539
2484,2022,SULAWESI TENGGARA,7406,BOMBANA,16.40,155512,25504
2485,2022,SULAWESI TENGGARA,7407,WAKATOBI,20.75,114617,23783
2486,2022,SULAWESI TENGGARA,7408,KOLAKA UTARA,11.60,142767,16561
2487,2022,SULAWESI TENGGARA,7409,BUTON UTARA,16.66,68092,11344
2488,2022,SULAWESI TENGGARA,7410,KONAWE UTARA,9.01,70683,6369
2489,2022,SULAWESI TENGGARA,7411,KOLAKA TIMUR,17.30,123982,21449
2490,2022,SULAWESI TENGGARA,7412,KONAWE KEPULAUAN,19.74,38311,7563
2491,2022,SULAWESI TENGGARA,7413,MUNA BARAT,20.00,87594,17519
2492,2022,SULAWESI TENGGARA,7414,BUTON TENGAH,15.78,117630,18562
2493,2022,SULAWESI TENGGARA,7415,BUTON SELATAN,14.08,97945,13791
2494,2022,SULAWESI TENGGARA,7471,KOTA KENDARI,15.51,357649,55471
2495,2022,SULAWESI TENGGARA,7472,KOTA BAU BAU,24.60,163721,40275
2496,2022,GORONTALO,7501,BOALEMO,19.09,149383,28517
2497,2022,GORONTALO,7502,GORONTALO,19.01,401063,76242
2498,2022,GORONTALO,7503,PAHUWATO,20.02,149922,30014
2499,2022,GORONTALO,7504,BONE BOLANGO,17.59,166464,29281
2500,2022,GORONTALO,7505,GORONTALO UTARA,22.84,128647,29383
2501,2022,GORONTALO,7571,GORONTALO,15.17,202938,30786
2502,2022,SULAWESI BARAT,7601,MAJENE,9.25,178853,16544
2503,2022,SULAWESI BARAT,7602,POLEWALI MANDAR,10.40,489394,50897
2504,2022,SULAWESI BARAT,7603,MAMASA,17.58,167796,29499
2505,2022,SULAWESI BARAT,7604,MAMUJU,9.04,287620,26001
2506,2022,SULAWESI BARAT,7605,MAMUJU UTARA,5.19,195416,10142
2507,2022,SULAWESI BARAT,7606,MAMUJU TENGAH,6.98,139813,9759
2508,2022,MALUKU,8101,MALUKU TENGGARA BARAT,35.03,126799,44418
2509,2022,MALUKU,8102,MALUKU TENGGARA,28.78,123701,35601
2510,2022,MALUKU,8103,MALUKU TENGAH,36.90,431342,159165
2511,2022,MALUKU,8104,BURU,34.38,138599,47650
2512,2022,MALUKU,8105,KEPULAUAN ARU,33.74,105572,35620
2513,2022,MALUKU,8106,SERAM BAGIAN BARAT,37.77,218852,82660
2514,2022,MALUKU,8107,SERAM BAGIAN TIMUR,30.54,142507,43522
2515,2022,MALUKU,8108,MALUKU BARAT DAYA,27.22,84415,22978
2516,2022,MALUKU,8109,BURU SELATAN,29.96,78038,23380
2517,2022,MALUKU,8171,KOTA AMBON,24.13,354836,85622
2518,2022,MALUKU,8172,KOTA TUAL,35.29,90405,31904
2519,2022,MALUKU UTARA,8201,HALMAHERA BARAT,38.00,135085,51332
2520,2022,MALUKU UTARA,8202,HALMAHERA TENGAH,25.51,59199,15102
2521,2022,MALUKU UTARA,8203,KEPULAUAN SULA,42.37,106625,45177
2522,2022,MALUKU UTARA,8204,HALMAHERA SELATAN,30.67,256520,78675
2523,2022,MALUKU UTARA,8205,HALMAHERA UTARA,28.38,202586,57494
2524,2022,MALUKU UTARA,8206,HALMAHERA TIMUR,31.48,94879,29868
2525,2022,MALUKU UTARA,8207,PULAU MOROTAI,26.80,76977,20630
2526,2022,MALUKU UTARA,8208,PULAU TALIABU,38.62,59645,23035
2527,2022,MALUKU UTARA,8271,KOTA TERNATE,24.60,209582,51557
2528,2022,MALUKU UTARA,8272,KOTA TIDORE KEPULAUAN,30.02,117376,35236
2529,2022,PAPUA BARAT,9101,FAK FAK,20.23,87588,17719
2530,2022,PAPUA BARAT,9102,KAIMANA,29.24,64334,18811
2531,2022,PAPUA BARAT,9103,TELUK WONDAMA,32.26,43494,14031
2532,2022,PAPUA BARAT,9104,TELUK BINTUNI,27.69,89105,24673
2533,2022,PAPUA BARAT,9105,MANOKWARI,28.70,198669,57018
2534,2022,PAPUA BARAT,9106,SORONG SELATAN,40.87,54263,22177
